id_pokemon,nome_pokemon,nome_tipo,hp,attack,defense,speed,score,url_imagem
22,fearow,flying,65,90,65,100,78.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,ekans,poison,35,60,44,55,50.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,arbok,poison,60,95,69,80,78.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,pikachu,electric,35,55,40,90,57.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,raichu,electric,60,90,55,110,86.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,sandshrew,ground,50,75,85,40,51.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,sandslash,ground,75,100,110,65,76.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,nidoran-f,poison,55,47,52,41,45.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,nidorina,poison,70,62,67,56,60.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,nidoqueen,poison,90,92,87,76,84.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
31,nidoqueen,ground,90,92,87,76,84.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,nidoran-m,poison,46,57,40,50,47.7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,nidorino,poison,61,72,57,65,62.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,nidoking,poison,81,102,77,85,87.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
34,nidoking,ground,81,102,77,85,87.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,clefairy,fairy,70,45,48,35,50.8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,clefable,fairy,95,70,73,60,77.8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,vulpix,fire,38,41,40,65,49.6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,ninetales,fire,73,76,75,100,83.8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,jigglypuff,normal,115,45,20,20,42.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
39,jigglypuff,fairy,115,45,20,20,42.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,wigglytuff,normal,140,70,45,45,70.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
40,wigglytuff,fairy,140,70,45,45,70.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
